Poll,Date,Sample,MoE,Gillum (D),DeSantis (R),Spread
RCP Average,9/13 - 9/30,--,--,46.5,42.8,Gillum +3.7
Mason-Dixon*Mason-Dixon*,9/24 - 9/27,815 LV,3.5,45,44,Gillum +1
WCTV-TVWCTV-TV,9/17 - 9/30,800 LV,3.5,44,43,Gillum +1
QuinnipiacQuinnipiac,9/20 - 9/24,888 LV,4.0,54,45,Gillum +9
NBC News/MaristNBC/Marist,9/16 - 9/20,600 LV,4.7,48,43,Gillum +5
UNFUNF,9/17 - 9/19,603 LV,4.0,47,43,Gillum +4
Florida Atlantic UniversityFAU,9/13 - 9/16,850 LV,3.3,41,39,Gillum +2
Rasmussen ReportsRasmussen,9/10 - 9/11,800 LV,3.5,48,42,Gillum +6
SurveyUSASUSA,9/7 - 9/9,634 LV,5.3,47,43,Gillum +4
QuinnipiacQuinnipiac,8/30 - 9/3,785 LV,4.3,50,47,Gillum +3
GravisGravis,8/29 - 8/30,1225 LV,2.8,47,45,Gillum +2
GravisGravis,7/13 - 7/14,1840 LV,2.3,36,39,DeSantis +3
GravisGravis,2/26 - 3/19,2212 LV,2.1,33,29,Gillum +4
