Poll,Date,Sample,MoE,Hogan (R),Jealous (D),Spread
RCP Average,8/1 - 9/26,--,--,52.7,35.0,Hogan +17.7
Mason-Dixon*Mason-Dixon*,9/24 - 9/26,625 LV,4.0,52,37,Hogan +15
Goucher CollegeGoucher,9/11 - 9/16,472 LV,4.5,54,32,Hogan +22
Gonzales ResearchGonzales Research,8/1 - 8/8,831 LV,3.5,52,36,Hogan +16
Gonzales ResearchGonzales Research,6/4 - 6/10,800 LV,3.5,51,34,Hogan +17
Washington PostWash Post,5/29 - 6/3,968 RV,4.5,51,39,Hogan +12
Goucher CollegeGoucher,4/14 - 4/19,449 LV,4.6,44,31,Hogan +13
Mason-DixonMason-Dixon,2/20 - 2/24,625 RV,4.0,50,33,Hogan +17
Gonzales ResearchGonzales Research,12/27 - 1/5,823 LV,3.5,49,36,Hogan +13
Mason-DixonMason-Dixon,9/27 - 9/30,625 RV,4.0,49,33,Hogan +16
