Poll,Date,Sample,MoE,Wolf (D),Wagner (R),Spread
RCP Average,8/12 - 9/23,--,--,53.3,36.5,Wolf +16.8
Franklin & Marshall*F&M;*,9/17 - 9/23,LV,--,52,30,Wolf +22
Morning Call*Morning Call*,9/13 - 9/19,404 LV,5.5,55,36,Wolf +19
Rasmussen ReportsRasmussen,9/12 - 9/13,800 LV,3.5,52,40,Wolf +12
Franklin & Marshall*F&M;*,8/20 - 8/26,222 LV,6.9,52,35,Wolf +17
NBC News/MaristNBC/Marist,8/12 - 8/16,713 RV,4.2,54,40,Wolf +14
SuffolkSuffolk,6/21 - 6/25,500 LV,4.4,49,36,Wolf +13
Franklin & MarshallF&M;,6/4 - 6/10,472 RV,6.5,48,29,Wolf +19
Morning CallMorning Call,4/4 - 4/12,414 RV,5.5,47,31,Wolf +16
Franklin & MarshallF&M;,3/19 - 3/26,137 RV,8.2,38,21,Wolf +17
