Poll,Date,Sample,MoE,Abbott (R),Valdez (D),Spread
RCP Average,9/6 - 10/5,--,--,54.7,35.3,Abbott +19.4
Emerson*Emerson*,10/1 - 10/5,500 LV,4.5,53,33,Abbott +20
QuinnipiacQuinnipiac,9/11 - 9/17,807 LV,4.1,58,39,Abbott +19
CBS 11/Dixie StrategiesDixie Strategies,9/6 - 9/7,519 LV,4.3,53,34,Abbott +19
EmersonEmerson,8/22 - 8/25,550 RV,4.4,48,28,Abbott +20
NBC News/MaristNBC/Marist,8/12 - 8/16,759 RV,3.8,56,37,Abbott +19
QuinnipiacQuinnipiac,7/26 - 7/31,1138 RV,3.5,51,38,Abbott +13
Texas Lyceum*Texas Lyceum*,7/9 - 7/26,441 LV,4.7,47,31,Abbott +16
GravisGravis,7/3 - 7/7,602 LV,4.0,51,41,Abbott +10
UT/Texas Tribune*UT/Texas Tribune*,6/8 - 6/17,1200 RV,2.8,44,32,Abbott +12
QuinnipiacQuinnipiac,5/23 - 5/29,961 RV,3.8,53,34,Abbott +19
JMC AnalyticsJMC Analytics,5/19 - 5/21,575 LV,4.1,48,36,Abbott +12
QuinnipiacQuinnipiac,4/12 - 4/17,1029 RV,3.6,49,40,Abbott +9
