Poll,Date,Sample,MoE,Scott (R),Nelson (D),Spread
RCP Average,5/4 - 7/14,--,--,45.2,44.4,Scott +0.8
GravisGravis,7/13 - 7/14,1840 LV,2.3,43,47,Nelson +4
CBS News/YouGovCBS/YouGov,6/19 - 6/22,839 LV,--,46,41,Scott +5
NBC News/MaristNBC/Marist,6/17 - 6/21,947 RV,3.9,45,49,Nelson +4
FL ChamberFL CoC,5/25 - 6/4,605 LV,4.0,48,45,Scott +3
Florida Atlantic UniversityFAU,5/4 - 5/7,1000 RV,3.0,44,40,Scott +4
GravisGravis,2/26 - 3/19,2212 LV,2.1,40,44,Nelson +4
QuinnipiacQuinnipiac,2/23 - 2/26,1156 RV,3.6,42,46,Nelson +4
GravisGravis,2/1 - 2/18,1978 RV,2.2,40,44,Nelson +4
UNFUNF,1/29 - 2/4,429 LV,4.7,42,48,Nelson +6
Mason-DixonMason-Dixon,1/30 - 2/1,625 RV,4.0,44,45,Nelson +1
Mason-DixonMason-Dixon,10/17 - 10/19,625 LV,4.0,44,44,Tie
UNFUNF,10/11 - 10/17,706 LV,3.4,36,37,Nelson +1
FL ChamberFL CoC,9/17 - 9/24,615 LV,--,47,45,Scott +2
Florida Atlantic UniversityFAU,8/24 - 8/26,800 LV,4.0,40,42,Nelson +2
GravisGravis,4/4 - 4/10,1243 RV,2.8,28,56,Nelson +28
