Poll,Date,Sample,MoE,McCaskill (D),Hawley (R),Spread
RCP Average,3/5 - 7/8,--,--,45.2,44.2,McCaskill +1.0
Remington Research (R)Remington (R),7/7 - 7/8,1034 LV,3.2,46,48,Hawley +2
Missouri Scout*Missouri Scout*,5/9 - 5/10,898 LV,3.3,48,44,McCaskill +4
EmersonEmerson,4/26 - 4/29,600 LV,4.2,45,45,Tie
Missouri Scout*Missouri Scout*,4/19 - 4/20,1542 LV,2.5,48,44,McCaskill +4
Mason-DixonMason-Dixon,4/4 - 4/6,625 RV,4.0,45,44,McCaskill +1
GravisGravis,3/5 - 3/7,931 RV,3.2,42,40,McCaskill +2
Remington Research (R)Remington (R),1/3 - 1/4,1122 LV,2.9,45,49,Hawley +4
Remington Research (R)Remington (R),10/11 - 10/12,965 LV,3.1,45,48,Hawley +3
Remington Research (R)Remington (R),8/16 - 8/18,922 LV,3.0,45,50,Hawley +5
Remington Research (R)Remington (R),7/7 - 7/8,928 LV,3.1,44,50,Hawley +6
